Mach,Deployment Level,CD
2.66,0,0.617999135
2.67,0,0.617093565
2.68,0,0.61619118
2.69,0,0.615291934
2.7,0,0.614395781
2.71,0,0.613502661
2.72,0,0.612612559
2.73,0,0.611725387
2.74,0,0.61084112
2.75,0,0.609959699
2.76,0,0.609081086
2.77,0,0.608205236
2.78,0,0.607332069
2.79,0,0.60646157
2.8,0,0.605593658
2.81,0,0.604728291
2.82,0,0.603865434
2.83,0,0.603005018
2.84,0,0.602146999
2.85,0,0.601291314
2.86,0,0.600437925
2.87,0,0.599586767
2.88,0,0.598737779
2.89,0,0.597890924
2.9,0,0.597046139
2.91,0,0.596203389
2.92,0,0.595362578
2.93,0,0.594523679
2.94,0,0.593686639
2.95,0,0.592851382
2.96,0,0.592017861
2.97,0,0.591186028
2.98,0,0.590355818
2.99,0,0.58952718
3,0,0.58870004
3.01,0,0.587945736
3.02,0,0.587280126
3.03,0,0.586616061
3.04,0,0.585953557
3.05,0,0.585292605
3.06,0,0.584633223
3.07,0,0.583975415
3.08,0,0.583319173
3.09,0,0.582664522
3.1,0,0.582011461
3.11,0,0.581359994
3.12,0,0.58071014
3.13,0,0.58006189
3.14,0,0.579415256
3.15,0,0.578770232
3.16,0,0.578126825
3.17,0,0.577485053
3.18,0,0.576844915
3.19,0,0.576206416
3.2,0,0.575569545
3.21,0,0.574934326
3.22,0,0.574300746
3.23,0,0.573668818
3.24,0,0.573038533
3.25,0,0.572409916
3.26,0,0.571782945
3.27,0,0.571157641
3.28,0,0.570533991
3.29,0,0.569912018
3.3,0,0.569291696
3.31,0,0.568673041
3.32,0,0.568056053
3.33,0,0.567440731
3.34,0,0.56682708
3.35,0,0.566215118
3.36,0,0.565604811
3.37,0,0.564996172
3.38,0,0.564389201
3.39,0,0.563783915
3.4,0,0.563180293
3.41,0,0.562578348
3.42,0,0.561978071
3.43,0,0.561379462
3.44,0,0.560782526
3.45,0,0.560187255
3.46,0,0.559593659
3.47,0,0.559001725
3.48,0,0.558411453
