Mach,CD Power-On
3.2,0.221892252
3.21,0.221385862
3.22,0.220881925
3.23,0.220380417
3.24,0.219881322
3.25,0.219384641
3.26,0.218890338
3.27,0.218398427
3.28,0.217908851
3.29,0.21742163
3.3,0.216936749
3.31,0.2164542
3.32,0.215973948
3.33,0.215495993
3.34,0.215020312
3.35,0.214546906
3.36,0.214075757
3.37,0.213606859
3.38,0.213140161
3.39,0.212675695
3.4,0.212213439
3.41,0.211753367
3.42,0.211295471
3.43,0.210839734
3.44,0.210386161
3.45,0.209934731
3.46,0.209485413
3.47,0.20903822
3.48,0.208593137
3.49,0.208150142
3.5,0.207709229
3.51,0.207270369
3.52,0.206833579
3.53,0.206398828
3.54,0.2059661
3.55,0.205535409
3.56,0.205106709
3.57,0.204680005
3.58,0.204255295
3.59,0.203832563
3.6,0.203411783
3.61,0.202992952
3.62,0.202576078
3.63,0.202161105
3.64,0.20174806
3.65,0.201336917
3.66,0.200927671
3.67,0.200520303
3.68,0.200114811
3.69,0.199711181
3.7,0.199309406
3.71,0.198909459
3.72,0.198511356
3.73,0.198115045
3.74,0.197720565
3.75,0.197327871
3.76,0.196936954
3.77,0.196547818
3.78,0.196160453
3.79,0.195774833
3.8,0.195390953
3.81,0.195008824
3.82,0.194628408
3.83,0.194249704
3.84,0.193872699
3.85,0.193497391
3.86,0.193090035
3.87,0.192684355
3.88,0.19228034
3.89,0.191877965
3.9,0.191477244
3.91,0.191078158
3.92,0.190680704
3.93,0.190284842
3.94,0.189890581
3.95,0.189497927
3.96,0.189106847
3.97,0.188717334
3.98,0.188329393
3.99,0.187943018
4,0.187558179
4.01,0.187199683
4.02,0.186842713
4.03,0.186487227
4.04,0.186133251
4.05,0.18578075
4.06,0.18542973
4.07,0.185080182
4.08,0.184732086
4.09,0.184385458
4.1,0.184040257
4.11,0.183696485
4.12,0.183354156
4.13,0.183013221
4.14,0.182673707
4.15,0.182335591
4.16,0.18199886
4.17,0.181663524
4.18,0.181329552
4.19,0.18099695
4.2,0.180665711
4.21,0.18033582
4.22,0.18000727
4.23,0.179680052
4.24,0.179354171
4.25,0.179029585
4.26,0.178706331
4.27,0.178384376
4.28,0.178063717
4.29,0.177744338
4.3,0.177426241
4.31,0.17710942
4.32,0.176793848
4.33,0.176479534
4.34,0.17616648
4.35,0.175854659
4.36,0.175544065
4.37,0.175234693
4.38,0.174926546
4.39,0.174627749
4.4,0.174348798
4.41,0.174070497
4.42,0.17379285
4.43,0.173515873
4.44,0.17323952
4.45,0.172963809
4.46,0.172688739
4.47,0.172414319
4.48,0.172140516
4.49,0.171867349
4.5,0.171594794
4.51,0.171322868
4.52,0.171051565
4.53,0.17078088
4.54,0.170510792
4.55,0.170241326
4.56,0.169972443
4.57,0.16970418
4.58,0.169436504
4.59,0.169169425
4.6,0.168902939
4.61,0.168637035
4.62,0.168371718
4.63,0.16810697
4.64,0.167842809
4.65,0.16757922
4.66,0.167316192
4.67,0.167053733
4.68,0.16679185
4.69,0.166530503
4.7,0.166269727
4.71,0.166009497
4.72,0.165749809
4.73,0.165490665
4.74,0.165232075
4.75,0.164974024
4.76,0.164716482
4.77,0.164459486
4.78,0.164203021
4.79,0.163947063
4.8,0.163691637
4.81,0.163436721
4.82,0.163182308
4.83,0.162928418
4.84,0.162675026
4.85,0.16242213
4.86,0.162169739
4.87,0.161917839
4.88,0.161666427
4.89,0.161415505
4.9,0.161165062
4.91,0.160915094
4.92,0.160665614
4.93,0.160416601
4.94,0.160168042
4.95,0.159919975
4.96,0.159672345
4.97,0.159425192
4.98,0.159178472
4.99,0.158932223
5,0.1586864
5.01,0.15850036
5.02,0.158271412
5.03,0.158043201
5.04,0.157815699
5.05,0.157588922
5.06,0.157362867
5.07,0.157137503
5.08,0.156912854
5.09,0.156688896
5.1,0.15646561
5.11,0.15624303
5.12,0.156021121
5.13,0.155799868
5.14,0.155579296
5.15,0.155359379
5.16,0.155140113
5.17,0.154921502
5.18,0.154703527
5.19,0.154486193
5.2,0.154269494
5.21,0.154053412
5.22,0.153837963
5.23,0.153623121
5.24,0.153408883
5.25,0.153195251
5.26,0.152982211
5.27,0.152769764
5.28,0.152557909
5.29,0.152346634
5.3,0.152135924
5.31,0.151925803
5.32,0.151716239
5.33,0.151507234
5.34,0.151298776
5.35,0.151090881
5.36,0.150883509
5.37,0.150676694
5.38,0.150470393
5.39,0.150264637
5.4,0.150059399
5.41,0.149840496
5.42,0.149622342
5.43,0.149404803
5.44,0.149187906
5.45,0.148971624
5.46,0.148755961
5.47,0.1485409
5.48,0.148326448
