Mach,CD Power-Off
3.2,0.249726245
3.21,0.249124754
3.22,0.248525717
3.23,0.247929108
3.24,0.247334912
3.25,0.24674313
3.26,0.246153726
3.27,0.245566714
3.28,0.244982037
3.29,0.244399716
3.3,0.243819734
3.31,0.243242084
3.32,0.242666731
3.33,0.242093675
3.34,0.241522893
3.35,0.240954386
3.36,0.240388136
3.37,0.239824138
3.38,0.239262338
3.39,0.238702771
3.4,0.238145415
3.41,0.237590242
3.42,0.237037245
3.43,0.236486407
3.44,0.235937733
3.45,0.235391202
3.46,0.234846784
3.47,0.234304489
3.48,0.233764305
3.49,0.233226209
3.5,0.232690196
3.51,0.232156235
3.52,0.231624344
3.53,0.231094492
3.54,0.230566663
3.55,0.230040871
3.56,0.22951707
3.57,0.228995265
3.58,0.228475454
3.59,0.227957622
3.6,0.227441741
3.61,0.226927809
3.62,0.226415834
3.63,0.22590576
3.64,0.225397614
3.65,0.22489137
3.66,0.224387024
3.67,0.223884554
3.68,0.223383961
3.69,0.222885231
3.7,0.222388355
3.71,0.221893307
3.72,0.221400103
3.73,0.220908691
3.74,0.220419111
3.75,0.219931315
3.76,0.219445298
3.77,0.21896106
3.78,0.218478594
3.79,0.217997874
3.8,0.217518893
3.81,0.217041663
3.82,0.216566146
3.83,0.216092341
3.84,0.215620235
3.85,0.215149827
3.86,0.214681093
3.87,0.214214035
3.88,0.213748643
3.89,0.21328489
3.9,0.212822791
3.91,0.212362327
3.92,0.211903496
3.93,0.211446256
3.94,0.210990617
3.95,0.210536586
3.96,0.210084128
3.97,0.209633237
3.98,0.209183919
3.99,0.208736165
4,0.208289949
4.01,0.207870075
4.02,0.207451727
4.03,0.207034864
4.04,0.20661951
4.05,0.206205632
4.06,0.205793234
4.07,0.205382308
4.08,0.204972834
4.09,0.204564829
4.1,0.20415825
4.11,0.2037531
4.12,0.203349393
4.13,0.202947081
4.14,0.202546189
4.15,0.202146695
4.16,0.201748587
4.17,0.201351873
4.18,0.200956524
4.19,0.200562544
4.2,0.200169927
4.21,0.199778659
4.22,0.199388731
